time,updated_x,updated_y,prev_qr_x,prev_qr_y,dest_qr_x,dest_qr_y,distance_from_prev_qr,curr_angle,desired_angle,angle_to_turn,flavor
1501805636506,0.0,0.0,0.0,0.0,0.0,60.0,0.0,88.95,90.0,1.05,0
1501805639198,0.0,0.0,0.0,0.0,0.0,60.0,0.0,88.6,90.0,1.4,0
1501805639202,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,88.6,90.0,1.4,0
1501805639203,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,88.6,90.0,1.4,0
1501805639207,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,88.6,90.0,1.4,0
1501805639216,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,88.6,90.0,1.4,0
1501805639221,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639223,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639227,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639230,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639236,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639242,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639245,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639247,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639250,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639253,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639256,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639259,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639261,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,88.6,90.0,1.4,0
1501805639264,-0.3,0.6,0.0,0.0,0.0,60.0,0.67,88.6,90.0,1.4,0
1501805639266,-0.3,0.6,0.0,0.0,0.0,60.0,0.67,88.6,90.0,1.4,0
1501805639275,-0.4,0.8,0.0,0.0,0.0,60.0,0.9,88.6,90.0,1.4,0
1501805639280,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639283,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639285,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639288,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639292,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639298,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639303,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639311,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639323,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639327,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639331,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639334,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639336,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639339,-0.5,1.0,0.0,0.0,0.0,60.0,1.12,88.6,90.0,1.4,0
1501805639342,-0.6,1.2,0.0,0.0,0.0,60.0,1.35,88.6,90.0,1.4,0
1501805639345,-0.6,1.2,0.0,0.0,0.0,60.0,1.35,88.6,90.0,1.4,0
1501805639348,-0.6,1.2,0.0,0.0,0.0,60.0,1.35,88.6,90.0,1.4,0
1501805639350,-0.6,1.2,0.0,0.0,0.0,60.0,1.35,88.6,90.0,1.4,0
1501805639353,-0.6,1.2,0.0,0.0,0.0,60.0,1.35,88.6,90.0,1.4,0
1501805639356,-0.6,1.2,0.0,0.0,0.0,60.0,1.35,88.6,90.0,1.4,0
1501805639359,-0.6,1.2,0.0,0.0,0.0,60.0,1.35,88.6,90.0,1.4,0
1501805639361,-0.6,1.2,0.0,0.0,0.0,60.0,1.35,88.6,90.0,1.4,0
1501805639365,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639376,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639380,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639383,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639386,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639391,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639395,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639400,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639404,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639408,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639411,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639415,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639419,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639421,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639425,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639428,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639430,-0.7,1.4,0.0,0.0,0.0,60.0,1.57,88.6,90.0,1.4,0
1501805639433,-0.8,1.6,0.0,0.0,0.0,60.0,1.79,88.6,90.0,1.4,0
1501805639435,-0.8,1.6,0.0,0.0,0.0,60.0,1.79,88.6,90.0,1.4,0
