time,updated_x,updated_y,prev_qr_x,prev_qr_y,dest_qr_x,dest_qr_y,distance_from_prev_qr,curr_angle,desired_angle,angle_to_turn,flavor
1501806621750,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.65,90.0,0.35,0
1501806624515,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624518,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624520,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624522,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624524,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624528,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624530,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624534,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624537,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624540,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624544,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624547,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624550,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624555,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624557,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624562,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624565,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624570,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624579,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624582,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624584,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624587,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.31,90.0,0.69,0
1501806624589,0.0,0.2,0.0,0.0,0.0,60.0,0.22,89.31,90.0,0.69,0
1501806624594,0.0,0.2,0.0,0.0,0.0,60.0,0.22,89.31,90.0,0.69,0
1501806624598,0.0,0.2,0.0,0.0,0.0,60.0,0.22,89.31,90.0,0.69,0
1501806624601,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624604,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624610,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624615,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624626,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624631,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624634,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624637,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624643,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624646,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624649,0.0,0.4,0.0,0.0,0.0,60.0,0.45,89.31,90.0,0.69,0
1501806624651,0.0,0.7,0.0,0.0,0.0,60.0,0.67,89.31,90.0,0.69,0
1501806624655,0.0,0.7,0.0,0.0,0.0,60.0,0.67,89.31,90.0,0.69,0
1501806624658,0.0,0.7,0.0,0.0,0.0,60.0,0.67,89.31,90.0,0.69,0
1501806624661,0.0,0.7,0.0,0.0,0.0,60.0,0.67,89.31,90.0,0.69,0
1501806624667,0.0,0.7,0.0,0.0,0.0,60.0,0.67,89.31,90.0,0.69,0
1501806624674,0.0,0.7,0.0,0.0,0.0,60.0,0.67,89.31,90.0,0.69,0
